Search_Parm,Resource,Search_Pram_Type,Expression
context,GraphDefinition,token,
context,ImplementationGuide,token,
context,Library,token,
context,Measure,token,
context,MessageDefinition,token,
context,NamingSystem,token,
context,OperationDefinition,token,
context,PlanDefinition,token,
context,Questionnaire,token,
context,Requirements,token,
context,SearchParameter,token,
context,StructureDefinition,token,
context,StructureMap,token,
context,TerminologyCapabilities,token,
context,TestPlan,token,
context,TestScript,token,
context,ValueSet,token,
context-quantity,ActivityDefinition,quantity,
context-quantity,ActorDefinition,quantity,
context-quantity,CapabilityStatement,quantity,
context-quantity,ChargeItemDefinition,quantity,
context-quantity,Citation,quantity,
context-quantity,CodeSystem,quantity,
context-quantity,CompartmentDefinition,quantity,
context-quantity,ConceptMap,quantity,
context-quantity,ConditionDefinition,quantity,
context-quantity,EventDefinition,quantity,
context-quantity,Evidence,quantity,
context-quantity,EvidenceVariable,quantity,
context-quantity,ExampleScenario,quantity,
context-quantity,GraphDefinition,quantity,
context-quantity,ImplementationGuide,quantity,
context-quantity,Library,quantity,
context-quantity,Measure,quantity,
context-quantity,MessageDefinition,quantity,
context-quantity,NamingSystem,quantity,
context-quantity,OperationDefinition,quantity,
context-quantity,PlanDefinition,quantity,
context-quantity,Questionnaire,quantity,
context-quantity,Requirements,quantity,
context-quantity,SearchParameter,quantity,
context-quantity,StructureDefinition,quantity,
context-quantity,StructureMap,quantity,
context-quantity,TerminologyCapabilities,quantity,
context-quantity,TestPlan,quantity,
context-quantity,TestScript,quantity,
context-quantity,ValueSet,quantity,
context-type,ActivityDefinition,token,ActivityDefinition.useContext.code
context-type,ActorDefinition,token,ActorDefinition.useContext.code
context-type,CapabilityStatement,token,CapabilityStatement.useContext.code
context-type,ChargeItemDefinition,token,ChargeItemDefinition.useContext.code
context-type,Citation,token,Citation.useContext.code
context-type,CodeSystem,token,CodeSystem.useContext.code
context-type,CompartmentDefinition,token,CompartmentDefinition.useContext.code
context-type,ConceptMap,token,ConceptMap.useContext.code
context-type,ConditionDefinition,token,ConditionDefinition.useContext.code
context-type,EventDefinition,token,EventDefinition.useContext.code
context-type,Evidence,token,Evidence.useContext.code
context-type,EvidenceVariable,token,EvidenceVariable.useContext.code
context-type,ExampleScenario,token,ExampleScenario.useContext.code
context-type,GraphDefinition,token,GraphDefinition.useContext.code
context-type,ImplementationGuide,token,ImplementationGuide.useContext.code
context-type,Library,token,Library.useContext.code
context-type,Measure,token,Measure.useContext.code
context-type,MessageDefinition,token,MessageDefinition.useContext.code
context-type,NamingSystem,token,NamingSystem.useContext.code
context-type,OperationDefinition,token,OperationDefinition.useContext.code
context-type,PlanDefinition,token,PlanDefinition.useContext.code
context-type,Questionnaire,token,Questionnaire.useContext.code
context-type,Requirements,token,Requirements.useContext.code
context-type,SearchParameter,token,SearchParameter.useContext.code
context-type,StructureDefinition,token,StructureDefinition.useContext.code
context-type,StructureMap,token,StructureMap.useContext.code
context-type,TerminologyCapabilities,token,TerminologyCapabilities.useContext.code
context-type,TestPlan,token,TestPlan.useContext.code
context-type,TestScript,token,TestScript.useContext.code
context-type,ValueSet,token,ValueSet.useContext.code
date,ActivityDefinition,date,ActivityDefinition.date
date,ActorDefinition,date,ActorDefinition.date
date,CapabilityStatement,date,CapabilityStatement.date
date,ChargeItemDefinition,date,ChargeItemDefinition.date
date,Citation,date,Citation.date
date,CodeSystem,date,CodeSystem.date
date,CompartmentDefinition,date,CompartmentDefinition.date
date,ConceptMap,date,ConceptMap.date
date,ConditionDefinition,date,ConditionDefinition.date
date,EventDefinition,date,EventDefinition.date
date,Evidence,date,Evidence.date
date,EvidenceVariable,date,EvidenceVariable.date
date,ExampleScenario,date,ExampleScenario.date
date,GraphDefinition,date,GraphDefinition.date
date,ImplementationGuide,date,ImplementationGuide.date
date,Library,date,Library.date
date,Measure,date,Measure.date
date,MessageDefinition,date,MessageDefinition.date
date,NamingSystem,date,NamingSystem.date
date,OperationDefinition,date,OperationDefinition.date
date,PlanDefinition,date,PlanDefinition.date
date,Questionnaire,date,Questionnaire.date
date,Requirements,date,Requirements.date
date,SearchParameter,date,SearchParameter.date
date,StructureDefinition,date,StructureDefinition.date
date,StructureMap,date,StructureMap.date
date,SubscriptionTopic,date,SubscriptionTopic.date
date,TerminologyCapabilities,date,TerminologyCapabilities.date
date,TestPlan,date,TestPlan.date
date,TestScript,date,TestScript.date
date,ValueSet,date,ValueSet.date
depends-on,ActivityDefinition,reference,ActivityDefinition.relatedArtifact.where
depends-on,EventDefinition,reference,ActivityDefinition.library
depends-on,Library,reference,EventDefinition.relatedArtifact.where
depends-on,Measure,reference,Library.relatedArtifact.where
depends-on,PlanDefinition,reference,Measure.relatedArtifact.where
derived-from,ActivityDefinition,reference,ActivityDefinition.relatedArtifact.where
derived-from,CodeSystem,reference,CodeSystem.relatedArtifact.where
derived-from,ConceptMap,reference,ConceptMap.relatedArtifact.where
derived-from,EventDefinition,reference,EventDefinition.relatedArtifact.where
derived-from,Library,reference,Library.relatedArtifact.where
derived-from,Measure,reference,Measure.relatedArtifact.where
derived-from,NamingSystem,reference,NamingSystem.relatedArtifact.where
derived-from,PlanDefinition,reference,PlanDefinition.relatedArtifact.where
derived-from,ValueSet,reference,ValueSet.relatedArtifact.where
description,ActivityDefinition,string,ActivityDefinition.description
description,ActorDefinition,string,ActorDefinition.description
description,CapabilityStatement,string,CapabilityStatement.description
description,ChargeItemDefinition,string,ChargeItemDefinition.description
description,Citation,string,Citation.description
description,CodeSystem,string,CodeSystem.description
description,CompartmentDefinition,string,CompartmentDefinition.description
description,ConceptMap,string,ConceptMap.description
description,ConditionDefinition,string,ConditionDefinition.description
description,EventDefinition,string,EventDefinition.description
description,Evidence,string,Evidence.description
description,EvidenceVariable,string,EvidenceVariable.description
description,GraphDefinition,string,GraphDefinition.description
description,ImplementationGuide,string,ImplementationGuide.description
description,Library,string,Library.description
description,Measure,string,Measure.description
description,MessageDefinition,string,MessageDefinition.description
description,NamingSystem,string,NamingSystem.description
description,OperationDefinition,string,OperationDefinition.description
description,PlanDefinition,string,PlanDefinition.description
description,Questionnaire,string,Questionnaire.description
description,Requirements,string,Requirements.description
description,SearchParameter,string,SearchParameter.description
description,StructureDefinition,string,StructureDefinition.description
description,StructureMap,string,StructureMap.description
description,TerminologyCapabilities,string,TerminologyCapabilities.description
description,TestPlan,string,TestPlan.description
description,TestScript,string,TestScript.description
description,ValueSet,string,ValueSet.description
effective,ActivityDefinition,date,ActivityDefinition.effectivePeriod
effective,ChargeItemDefinition,date,ChargeItemDefinition.applicability.effectivePeriod
effective,Citation,date,Citation.effectivePeriod
effective,CodeSystem,date,CodeSystem.effectivePeriod
effective,ConceptMap,date,ConceptMap.effectivePeriod
effective,EventDefinition,date,EventDefinition.effectivePeriod
effective,Library,date,Library.effectivePeriod
effective,Measure,date,Measure.effectivePeriod
effective,NamingSystem,date,NamingSystem.effectivePeriod
effective,PlanDefinition,date,PlanDefinition.effectivePeriod
effective,Questionnaire,date,Questionnaire.effectivePeriod
effective,ValueSet,date,ValueSet.effectivePeriod
identifier,ActivityDefinition,token,ActivityDefinition.identifier
identifier,ActorDefinition,token,ActorDefinition.identifier
identifier,CapabilityStatement,token,CapabilityStatement.identifier
identifier,ChargeItemDefinition,token,ChargeItemDefinition.identifier
identifier,Citation,token,Citation.identifier
identifier,CodeSystem,token,CodeSystem.identifier
identifier,ConceptMap,token,ConceptMap.identifier
identifier,ConditionDefinition,token,ConditionDefinition.identifier
identifier,DeviceDefinition,token,DeviceDefinition.identifier
identifier,EventDefinition,token,DeviceDefinition.udiDeviceIdentifier
identifier,Evidence,token,EventDefinition.identifier
identifier,EvidenceVariable,token,Evidence.identifier
identifier,ExampleScenario,token,EvidenceVariable.identifier
identifier,GraphDefinition,token,ExampleScenario.identifier
identifier,Group,token,GraphDefinition.identifier
identifier,ImplementationGuide,token,Group.identifier
identifier,Library,token,ImplementationGuide.identifier
identifier,Measure,token,Library.identifier
identifier,MedicationKnowledge,token,Measure.identifier
identifier,MessageDefinition,token,MedicationKnowledge.identifier
identifier,NamingSystem,token,MessageDefinition.identifier
identifier,ObservationDefinition,token,NamingSystem.identifier
identifier,OperationDefinition,token,ObservationDefinition.identifier
identifier,PlanDefinition,token,OperationDefinition.identifier
identifier,Questionnaire,token,PlanDefinition.identifier
identifier,Requirements,token,Questionnaire.identifier
identifier,SearchParameter,token,Requirements.identifier
identifier,SpecimenDefinition,token,SearchParameter.identifier
identifier,StructureDefinition,token,SpecimenDefinition.identifier
identifier,StructureMap,token,StructureDefinition.identifier
identifier,SubscriptionTopic,token,StructureMap.identifier
identifier,TerminologyCapabilities,token,SubscriptionTopic.identifier
identifier,TestPlan,token,TerminologyCapabilities.identifier
identifier,TestScript,token,TestPlan.identifier
identifier,ValueSet,token,TestScript.identifier
jurisdiction,ActivityDefinition,token,ActivityDefinition.jurisdiction
jurisdiction,ActorDefinition,token,ActorDefinition.jurisdiction
jurisdiction,CapabilityStatement,token,CapabilityStatement.jurisdiction
jurisdiction,ChargeItemDefinition,token,ChargeItemDefinition.jurisdiction
jurisdiction,Citation,token,Citation.jurisdiction
jurisdiction,CodeSystem,token,CodeSystem.jurisdiction
jurisdiction,ConceptMap,token,ConceptMap.jurisdiction
jurisdiction,ConditionDefinition,token,ConditionDefinition.jurisdiction
jurisdiction,EventDefinition,token,EventDefinition.jurisdiction
jurisdiction,ExampleScenario,token,ExampleScenario.jurisdiction
jurisdiction,GraphDefinition,token,GraphDefinition.jurisdiction
jurisdiction,ImplementationGuide,token,ImplementationGuide.jurisdiction
jurisdiction,Library,token,Library.jurisdiction
jurisdiction,Measure,token,Measure.jurisdiction
jurisdiction,MessageDefinition,token,MessageDefinition.jurisdiction
jurisdiction,NamingSystem,token,NamingSystem.jurisdiction
jurisdiction,OperationDefinition,token,OperationDefinition.jurisdiction
jurisdiction,PlanDefinition,token,PlanDefinition.jurisdiction
jurisdiction,Questionnaire,token,Questionnaire.jurisdiction
jurisdiction,Requirements,token,Requirements.jurisdiction
jurisdiction,SearchParameter,token,SearchParameter.jurisdiction
jurisdiction,StructureDefinition,token,StructureDefinition.jurisdiction
jurisdiction,StructureMap,token,StructureMap.jurisdiction
jurisdiction,TerminologyCapabilities,token,TerminologyCapabilities.jurisdiction
jurisdiction,TestPlan,token,TestPlan.jurisdiction
jurisdiction,TestScript,token,TestScript.jurisdiction
jurisdiction,ValueSet,token,ValueSet.jurisdiction
kind,ActivityDefinition,token,ActivityDefinition.kind
name,ActivityDefinition,string,ActivityDefinition.name
name,CapabilityStatement,string,CapabilityStatement.name
name,Citation,string,Citation.name
name,CodeSystem,string,CodeSystem.name
name,CompartmentDefinition,string,CompartmentDefinition.name
name,ConceptMap,string,ConceptMap.name
name,ConditionDefinition,string,ConditionDefinition.name
name,EventDefinition,string,EventDefinition.name
name,EvidenceVariable,string,EvidenceVariable.name
name,ExampleScenario,string,ExampleScenario.name
name,GraphDefinition,string,GraphDefinition.name
name,Group,string,Group.name
name,ImplementationGuide,string,ImplementationGuide.name
name,Library,string,Library.name
name,Measure,string,Measure.name
name,MessageDefinition,string,MessageDefinition.name
name,NamingSystem,string,NamingSystem.name
name,OperationDefinition,string,OperationDefinition.name
name,PlanDefinition,string,PlanDefinition.name
name,Questionnaire,string,Questionnaire.name
name,Requirements,string,Requirements.name
name,SearchParameter,string,SearchParameter.name
name,StructureDefinition,string,StructureDefinition.name
name,StructureMap,string,StructureMap.name
name,TerminologyCapabilities,string,TerminologyCapabilities.name
name,TestPlan,string,TestPlan.name
name,TestScript,string,TestScript.name
name,ValueSet,string,ValueSet.name
predecessor,ActivityDefinition,reference,ActivityDefinition.relatedArtifact.where
predecessor,CodeSystem,reference,CodeSystem.relatedArtifact.where
predecessor,ConceptMap,reference,ConceptMap.relatedArtifact.where
predecessor,EventDefinition,reference,EventDefinition.relatedArtifact.where
predecessor,Library,reference,Library.relatedArtifact.where
predecessor,Measure,reference,Measure.relatedArtifact.where
predecessor,NamingSystem,reference,NamingSystem.relatedArtifact.where
predecessor,PlanDefinition,reference,PlanDefinition.relatedArtifact.where
predecessor,ValueSet,reference,ValueSet.relatedArtifact.where
publisher,ActivityDefinition,string,ActivityDefinition.publisher
publisher,ActorDefinition,string,ActorDefinition.publisher
publisher,CapabilityStatement,string,CapabilityStatement.publisher
publisher,ChargeItemDefinition,string,ChargeItemDefinition.publisher
publisher,Citation,string,Citation.publisher
publisher,CodeSystem,string,CodeSystem.publisher
publisher,CompartmentDefinition,string,CompartmentDefinition.publisher
publisher,ConceptMap,string,ConceptMap.publisher
publisher,ConditionDefinition,string,ConditionDefinition.publisher
publisher,DeviceDefinition,string,DeviceDefinition.contact.name
publisher,EventDefinition,string,DeviceDefinition.publisher
publisher,Evidence,string,EventDefinition.publisher
publisher,EvidenceVariable,string,Evidence.publisher
publisher,ExampleScenario,string,EvidenceVariable.publisher
publisher,GraphDefinition,string,ExampleScenario.publisher
publisher,ImplementationGuide,string,GraphDefinition.publisher
publisher,Library,string,ImplementationGuide.publisher
publisher,Measure,string,Library.publisher
publisher,MessageDefinition,string,Measure.publisher
publisher,NamingSystem,string,MessageDefinition.publisher
publisher,OperationDefinition,string,NamingSystem.publisher
publisher,PlanDefinition,string,OperationDefinition.publisher
publisher,Questionnaire,string,PlanDefinition.publisher
publisher,Requirements,string,Questionnaire.publisher
publisher,SearchParameter,string,Requirements.publisher
publisher,StructureDefinition,string,SearchParameter.publisher
publisher,StructureMap,string,StructureDefinition.publisher
publisher,TerminologyCapabilities,string,StructureMap.publisher
publisher,TestPlan,string,TerminologyCapabilities.publisher
publisher,TestScript,string,TestPlan.publisher
publisher,ValueSet,string,TestScript.publisher
status,ActivityDefinition,token,ActivityDefinition.status
status,ActorDefinition,token,ActorDefinition.status
status,CapabilityStatement,token,CapabilityStatement.status
status,ChargeItemDefinition,token,ChargeItemDefinition.status
status,Citation,token,Citation.status
status,CodeSystem,token,CodeSystem.status
status,CompartmentDefinition,token,CompartmentDefinition.status
status,ConceptMap,token,ConceptMap.status
status,ConditionDefinition,token,ConditionDefinition.status
status,EventDefinition,token,EventDefinition.status
status,Evidence,token,Evidence.status
status,EvidenceVariable,token,EvidenceVariable.status
status,ExampleScenario,token,ExampleScenario.status
status,GraphDefinition,token,GraphDefinition.status
status,Group,token,Group.status
status,ImplementationGuide,token,ImplementationGuide.status
status,Library,token,Library.status
status,Measure,token,Measure.status
status,MedicationKnowledge,token,MedicationKnowledge.status
status,MessageDefinition,token,MessageDefinition.status
status,NamingSystem,token,NamingSystem.status
status,ObservationDefinition,token,ObservationDefinition.status
status,OperationDefinition,token,OperationDefinition.status
status,PlanDefinition,token,PlanDefinition.status
status,Questionnaire,token,Questionnaire.status
status,Requirements,token,Requirements.status
status,SearchParameter,token,SearchParameter.status
status,SpecimenDefinition,token,SpecimenDefinition.status
status,StructureDefinition,token,StructureDefinition.status
status,StructureMap,token,StructureMap.status
status,SubscriptionTopic,token,SubscriptionTopic.status
status,TerminologyCapabilities,token,TerminologyCapabilities.status
status,TestPlan,token,TestPlan.status
status,TestScript,token,TestScript.status
status,ValueSet,token,ValueSet.status
subject-canonical,ActivityDefinition,reference,ActivityDefinition.subject as canonical
subject-code,ActivityDefinition,token,ActivityDefinition.subject as CodeableConcept
subject-reference,ActivityDefinition,reference,ActivityDefinition.subject as Reference
successor,ActivityDefinition,reference,ActivityDefinition.relatedArtifact.where
successor,EventDefinition,reference,EventDefinition.relatedArtifact.where
successor,Library,reference,Library.relatedArtifact.where
successor,Measure,reference,Measure.relatedArtifact.where
successor,PlanDefinition,reference,PlanDefinition.relatedArtifact.where
title,ActivityDefinition,string,ActivityDefinition.title
title,ActorDefinition,string,ActorDefinition.title
title,CapabilityStatement,string,CapabilityStatement.title
title,ChargeItemDefinition,string,ChargeItemDefinition.title
title,Citation,string,Citation.title
title,CodeSystem,string,CodeSystem.title
title,ConceptMap,string,ConceptMap.title
title,ConditionDefinition,string,ConditionDefinition.title
title,EventDefinition,string,EventDefinition.title
title,Evidence,string,Evidence.title
title,EvidenceVariable,string,EvidenceVariable.title
title,ImplementationGuide,string,ImplementationGuide.title
title,Library,string,Library.title
title,Measure,string,Measure.title
title,MessageDefinition,string,MessageDefinition.title
title,ObservationDefinition,string,ObservationDefinition.title
title,OperationDefinition,string,OperationDefinition.title
title,PlanDefinition,string,PlanDefinition.title
title,Questionnaire,string,Questionnaire.title
title,Requirements,string,Requirements.title
title,SpecimenDefinition,string,SpecimenDefinition.title
title,StructureDefinition,string,StructureDefinition.title
title,StructureMap,string,StructureMap.title
title,SubscriptionTopic,string,SubscriptionTopic.title
title,TerminologyCapabilities,string,TerminologyCapabilities.title
title,TestPlan,string,TestPlan.title
title,TestScript,string,TestScript.title
title,ValueSet,string,ValueSet.title
topic,ActivityDefinition,token,ActivityDefinition.topic
topic,CodeSystem,token,CodeSystem.topic
topic,ConceptMap,token,ConceptMap.topic
topic,EventDefinition,token,EventDefinition.topic
topic,EvidenceVariable,token,Library.topic
topic,Library,token,Measure.topic
topic,Measure,token,NamingSystem.topic
topic,NamingSystem,token,PlanDefinition.topic
topic,PlanDefinition,token,ValueSet.topic
topic,ValueSet,token,
url,ActivityDefinition,uri,ActivityDefinition.url
url,ActorDefinition,uri,ActorDefinition.url
url,CapabilityStatement,uri,CapabilityStatement.url
url,ChargeItemDefinition,uri,ChargeItemDefinition.url
url,Citation,uri,Citation.url
url,CodeSystem,uri,CodeSystem.url
url,CompartmentDefinition,uri,CompartmentDefinition.url
url,ConceptMap,uri,ConceptMap.url
url,ConditionDefinition,uri,ConditionDefinition.url
url,DeviceDefinition,uri,DeviceDefinition.url
url,EventDefinition,uri,EventDefinition.url
url,Evidence,uri,Evidence.url
url,EvidenceVariable,uri,EvidenceVariable.url
url,ExampleScenario,uri,ExampleScenario.url
url,GraphDefinition,uri,GraphDefinition.url
url,Group,uri,Group.url
url,ImplementationGuide,uri,ImplementationGuide.url
url,Library,uri,Library.url
url,Measure,uri,Measure.url
url,MessageDefinition,uri,MessageDefinition.url
url,NamingSystem,uri,NamingSystem.url
url,ObservationDefinition,uri,ObservationDefinition.url
url,OperationDefinition,uri,OperationDefinition.url
url,PlanDefinition,uri,PlanDefinition.url
url,Questionnaire,uri,Questionnaire.url
url,Requirements,uri,Requirements.url
url,SearchParameter,uri,SearchParameter.url
url,SpecimenDefinition,uri,SpecimenDefinition.url
url,StructureDefinition,uri,StructureDefinition.url
url,StructureMap,uri,StructureMap.url
url,SubscriptionTopic,uri,SubscriptionTopic.url
url,TerminologyCapabilities,uri,TerminologyCapabilities.url
url,TestPlan,uri,TestPlan.url
url,TestScript,uri,TestScript.url
url,ValueSet,uri,ValueSet.url
version,ActivityDefinition,token,ActivityDefinition.version
version,ActorDefinition,token,ActorDefinition.version
version,CapabilityStatement,token,CapabilityStatement.version
version,ChargeItemDefinition,token,ChargeItemDefinition.version
version,Citation,token,Citation.version
version,CodeSystem,token,CodeSystem.version
version,CompartmentDefinition,token,CompartmentDefinition.version
version,ConceptMap,token,ConceptMap.version
version,ConditionDefinition,token,ConditionDefinition.version
version,DeviceDefinition,token,DeviceDefinition.deviceVersion.value
version,EventDefinition,token,EventDefinition.version
version,Evidence,token,Evidence.version
version,EvidenceVariable,token,EvidenceVariable.version
version,ExampleScenario,token,ExampleScenario.version
version,GraphDefinition,token,GraphDefinition.version
version,ImplementationGuide,token,ImplementationGuide.version
version,Library,token,Library.version
version,Measure,token,Measure.version
version,MessageDefinition,token,MessageDefinition.version
version,NamingSystem,token,NamingSystem.version
version,OperationDefinition,token,OperationDefinition.version
